customer_id,first_name,last_name,email,phone,has_email,has_phone,has_contact,city,last_purchase_date,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment
2001.0,Eha,Aas,eha.aas@telia.ee,+37287131455,True,True,True,Tallinn,2024-11-29,91,2,203.92000000000002,4,1,1,6,At Risk
2004.0,Jaak,Talvik,jaak.talvik@mail.ee,+37285544232,True,True,True,Tallinn,2024-12-19,71,2,1198.56,4,1,4,9,Potential
2005.0,Raivo,Koppel,raivo.koppel@yahoo.com,+37252984365,True,True,True,Tallinn,2024-10-03,148,4,959.5999999999999,3,4,3,10,Loyal
2006.0,Aili,Must,,+37254440491,False,True,True,Pärnu,2023-11-09,477,1,327.06,1,1,1,3,Lost
2007.0,Ragnar,Männik,ragnar.mannik@gmail.com,+37255546619,True,True,True,Pärnu,2025-01-30,29,1,318.63,5,1,1,7,Potential
2008.0,Külli,Paas,kulli.paas@mail.ee,+37285434045,True,True,True,Tartu,2024-12-14,76,5,1294.32,4,4,4,12,Loyal
2009.0,Madis,Mitt,madis.mitt@yahoo.com,+37259177491,True,True,True,Narva,2024-07-19,224,3,2255.21,2,3,5,10,Loyal
2012.0,Merle,Kukk,merle.kukk@outlook.com,+37257701141,True,True,True,Võru,2024-04-30,304,3,841.5,2,3,3,8,Potential
2013.0,Elis,Oja,,+37256200593,False,True,True,Pärnu,2024-10-06,145,2,364.20000000000005,3,1,2,6,At Risk
2014.0,Rain,Kivi,,+37252694246,False,True,True,Pärnu,2023-12-26,430,5,1066.15,1,4,4,9,Potential
2015.0,Grete,Rosin,grete.rosin@telia.ee,+37251894574,True,True,True,Tartu,2025-02-15,13,2,345.24,5,1,1,7,Potential
2016.0,Marika,Lill,,+37282833830,False,True,True,Tartu,2023-07-21,588,1,664.26,1,1,3,5,At Risk
2017.0,Kadri,Vaher,kadri.vaher@telia.ee,+37253264116,True,True,True,Viljandi,2024-02-08,386,4,904.65,1,4,3,8,Potential
2018.0,Marika,Nurk,marika.nurk@gmail.com,+37289977825,True,True,True,Paide,2024-07-21,222,3,1281.17,2,3,4,9,Potential
2019.0,Heino,Tammik,heino.tammik@mail.ee,+37259325422,True,True,True,Tallinn,2024-06-26,247,5,1653.15,2,4,5,11,Loyal
2020.0,Heli,Pärn,heli.parn@telia.ee,+37283794948,True,True,True,Paide,2024-11-23,97,3,923.9,4,3,3,10,Loyal
2022.0,Liina,Mägi,liina.magi@yahoo.com,+37257292885,True,True,True,Rakvere,2024-08-18,194,5,814.1700000000001,3,4,3,10,Loyal
